cldae taxa	clade sizde	label	runtime	nodal dist
2503,394,5892,5930,4259,585	6	I455	13.30220079421997	0
3005	1	3005	13.47265338897705	0
5150,6374,5076	3	I370	13.416869640350342	0
4136,4172,6830,6522	4	I478	13.368614435195923	0
9445	1	9445	13.466067790985107	0
2448,3029	2	I352	13.443734169006348	0
1333,5383,4176	3	I152	13.40049123764038	0
2556	1	2556	13.45902395248413	0
5524,4266	2	I498	13.46495008468628	0
4220,2587,7154,3253,2571,474,8078,862	8	I258	13.309170722961426	0
2335	1	2335	13.483664512634277	0
3982,7576	2	I334	13.420951843261719	0
9361	1	9361	13.474956750869751	0
759	1	759	13.455820560455322	0
2476	1	2476	13.453619956970215	0
1862	1	1862	13.478410005569458	0
9764,9718,9534	3	I18	13.409539222717285	0
2692,3505	2	I380	13.4437255859375	0
9769	1	9769	13.439857482910156	0
2556,4066,2243,7882	4	I227	13.38120722770691	0
4956	1	4956	13.453227281570435	0
5578	1	5578	13.460095167160034	0
9227,8919	2	I10	13.49389386177063	0
3416,2981,4513,6102,2118,517,129,3334,3630,675,7366,8785,7586,7015,1052,4512,8113	17	I211	13.185989141464233	0
6229,7035,7079	3	I156	13.448793888092041	0
6464	1	6464	13.503445148468018	0
577,6346,8024,696,1204,1863,3725	7	I204	13.366399765014648	0
1052,4512,8113	3	I213	13.459860801696777	0
5443,6526	2	I433	13.482507228851318	0
2075,7412,284,4238,4981,8321,7173,6395,2157,5713,3448,4222,2496,5868,8267,1908,6677,7494,4966,2556,4066,2243,7882,3416,2981,4513,6102,2118,517,129,3334,3630,675,7366,8785,7586,7015,1052,4512,8113,7346,577,6346,8024,696,1204,1863,3725,1950,4032,4738,5105,646,6071,7937,2725,5441,3684,831,1472,4941,1332,6801,3734,3571,2020,4786,5944,6421,7060,1865,3552,4947,2100,2272,4077,7124,4401,5568,748,4848,5462,8625,5113,8587,4539,7270,3421,3270,53,7336,8262,2328,594,6229,7035,7079,5534,1333,5383,4176,5829,739,4736,8319,7521,685,3635,5751,1243,4637	111	I138	10.847470998764038	0
117,2372,7592	3	I366	13.406233787536621	0
9793	1	9793	13.476312637329102	0
6031,2056,1943,5459,8774,2738,6567,6060,2031,1576,712,8582,6594,5711,7868,5744,1677,2503,394,5892,5930,4259,585	23	I452	12.971704959869385	0
2157,5713	2	I240	13.44296669960022	0
9979,9122,9391,9940	4	I44	13.403135538101196	0
5137	1	5137	13.538113594055176	0
4547	1	4547	13.481661081314087	0
4266	1	4266	13.50822401046753	0
9769,9553,9682,8871,9339,9361,8966,9227,8919,9999	10	I7	13.301744222640991	0
4066	1	4066	13.469150066375732	0
374	1	374	13.521697759628296	0
3552	1	3552	13.487709045410156	0
2852	1	2852	13.46493148803711	3
2448,3029,2335,294,4487,8712	6	I348	13.366939067840576	0
2454	1	2454	13.510395765304565	0
1252,7460	2	I338	13.488946437835693	0
425	1	425	13.499377489089966	0
5383	1	5383	13.504542112350464	0
5796,7219	2	I416	13.45713996887207	0
7116,6911,245,5197	4	I312	13.440160036087036	0
3255,1231,6362,7368,3004	5	I394	13.377620697021484	0
7035	1	7035	13.487961530685425	0
9593,9964,9283	3	I56	13.415089845657349	0
3253,2571,474,8078	4	I260	13.406211376190186	0
4962,2480,5623,7920,7905,3918,836	7	I71	13.344027042388916	0
9293,9793,9864	3	I25	13.409403562545776	0
53	1	53	13.42509126663208	0
1313,8722	2	I379	13.485453128814697	0
7116	1	7116	13.50850796699524	0
712	1	712	13.459443092346191	0
8919	1	8919	13.436760663986206	0
5445,7687,1120,3948,1965,8174,4840,8532,6859	9	I112	13.27364468574524	0
2834	1	2834	13.467055559158325	0
5089	1	5089	13.491093635559082	0
6581,4730	2	I392	13.441799879074097	0
5150,6374	2	I371	13.470910549163818	0
4554	1	4554	13.492189884185791	0
1714	1	1714	13.476359844207764	0
245	1	245	13.51250672340393	0
1943,5459,8774,2738,6567,6060,2031,1576	8	I466	13.30236530303955	0
4842,5080,6836,6317,8766,7313	6	I130	13.347992420196533	0
3416,2981,4513,6102,2118,517	6	I222	13.359769582748413	0
2556,4066,2243,7882,3416,2981,4513,6102,2118,517,129,3334,3630,675,7366,8785,7586,7015,1052,4512,8113,7346,577,6346,8024,696,1204,1863,3725,1950,4032,4738,5105	33	I198	12.696334838867188	0
6262	1	6262	13.435477495193481	0
4539,7270,3421,3270,53,7336,8262,2328,594,6229,7035,7079,5534,1333,5383,4176,5829	17	I150	13.078396797180176	0
1870,6238,5578,6817,4605,3320,4962,2480,5623,7920,7905,3918,836,3054,2302,7945,4048,1488,5889,4385,759,5874	22	I61	13.037615299224854	0
4136,4172,6830,6522,57,3037,6262,7365,6031,2056,1943,5459,8774,2738,6567,6060,2031,1576,712,8582,6594,5711,7868,5744,1677,2503,394,5892,5930,4259,585,5897,2349,8005,8445,5653,4301,7939,7784,4103,3005,6310,4554,7559,4640,765,4725,7608,7202,1256,5443,6526,874,2673,4497,5220,7641,6791,4515,1864,8777,3987,6250,3534,3407,7626,5231,5796,7219,4887,369,1862,6263,4284,1542,6221,7717,2501,1183,963,1924,1405,6143,6237,4747,5007,6481,3255,1231,6362,7368,3004,6787,6581,4730,7196,3195,4072,8803,510,2737,2692,3505,7538,1313,8722,374,3817,7859,2205,5455,5150,6374,5076,117,2372,7592,425,7401,5175,4085,1714,5814,8018,4635,7454,3951,6712	128	I354	10.542859315872192	0
8676	1	8676	13.545274257659912	0
2396	1	2396	13.502266883850098	0
5609	1	5609	13.497866153717041	0
2374,6668,5106,4525,3349,4220,2587,7154,3253,2571,474,8078,862,8611,1358,8298	16	I254	13.163390159606934	0
3635,5751,1243,4637	4	I141	13.42164134979248	0
5624,6165	2	I99	13.471211671829224	0
3036,8390	2	I285	13.48319935798645	0
7472	1	7472	13.556779861450195	0
7127,7425	2	I343	13.481529474258423	0
6481	1	6481	13.483481884002686	0
5832,7472,6559	3	I494	13.461893558502197	0
4515,1864	2	I426	13.487651109695435	0
9738	1	9738	13.497170448303223	0
9979,9122	2	I46	13.504376649856567	0
6237	1	6237	13.517125606536865	0
8024,696,1204,1863	4	I206	13.51581621170044	0
4621	1	4621	13.575786828994751	0
2370,2274	2	I325	13.579798460006714	0
963,1924,1405	3	I404	13.510040760040283	0
3965	1	3965	13.51129937171936	0
5220,7641,6791,4515,1864,8777,3987,6250,3534,3407,7626,5231	12	I418	13.317154884338379	0
6221,7717,2501	3	I408	13.568222045898438	0
8018	1	8018	13.508820295333862	0
5220,7641,6791,4515,1864	5	I425	13.400436401367188	0
5287	1	5287	13.527348756790161	0
6221,7717	2	I409	13.50013279914856	2
4848	1	4848	13.495870351791382	0
3772	1	3772	13.522468328475952	0
5220	1	5220	13.519124984741211	0
6776	1	6776	13.482485055923462	0
9973,8960	2	I39	13.50616979598999	0
5744	1	5744	13.53771686553955	0
3630,675,7366,8785	4	I218	13.459614515304565	0
2243	1	2243	13.49778437614441	0
2448,3029,2335	3	I351	13.465140104293823	0
765,4725	2	I439	13.469739437103271	0
3763	1	3763	13.520980834960938	0
6250,3534	2	I424	13.496755838394165	0
8601	1	8601	13.511894941329956	0
9769,9553	2	I15	13.47372055053711	0
6229	1	6229	13.517746210098267	0
9973,8960,9778,9668,9546,9458,9344,9917,9734,9116,9433,9340,9166,9598,9717,9293,9793,9864,8854,8895,9185,9764,9718,9534,9733,9856,9769,9553,9682,8871,9339,9361,8966,9227,8919,9999,9956	37	I4	12.695403575897217	3
4966	1	4966	13.524299383163452	0
6346	1	6346	13.516940593719482	0
7024	1	7024	13.51444935798645	0
9339	1	9339	13.497849225997925	0
6975	1	6975	13.518124103546143	0
6748,243,421,5373,2276,8356,2852	7	I104	13.338213443756104	0
